Name,Category,Ratings,Rating counts,Mobile Number,Address,Segment,Website_clean,Website Status
1CRORE PROJECT,Training Institute,4.3,754,7708150152,"Raahat Plaza, Door No : 66 Ground, Arcot Rd, opp. Vijaya Hospital",Highly Recommended Service,http://1croreprojects.com/,Yes
"ABC ACADEMY- NEET ,NIOS, TUITION & TUTORIAL CENTER",Coaching Institute,4.9,227,7358488123,"No 40, 200ft Road, near Temple School",Highly Recommended Service,http://abcacademy.org.in/,Yes
"Accord English - IELTS, Cambridge English Tutor",Coaching Institute,5,9,9946822323,"31, 18, 1st Main Rd, Balaji Nagar, Ekkatuthangal, Chennai, Tamil Nadu 600032",Highly Recommended Service,http://accordenglish.in/,Yes
ACE Engineering Academy Chennai,Coaching Institute,4.2,56,7799996602,"Second Floor, Bus stop, 49/30, N Usman Rd, near Bharathi Nagar",Highly Recommended Service,http://aceenggacademy.com/chennai-contact-us/,Yes
Addies Behavioural Science and Research Academy,Skill development,4.8,1200,9840635002,"7+ years in business ? Chennai, Tamil Nadu",Highly Recommended Service,http://addiesacademy.com/,Yes
CSC Computer Education,Computer training Center,4.9,87,9940909056,"Door No, AP 814, 1st St, near Metro Station Anna Nagar Tower, G Block, Anna Nagar, Chennai, Tamil Nadu 600040",Highly Recommended Service,http://annanagarcsc.com/,Yes
Appolo Study Centre,Coaching Institute,4.5,962,4442867555,"25, Nandhi Loop St, CIT Nagar West, Nandanam, Chennai, Tamil Nadu 600035",Highly Recommended Service,http://appolosupport.com/,Yes
Best iOT Training and Placement Institute AM Solutions Omr Chennai,Training Institute,0,116,Unknown,Unknown,Needs Improvement,http://automationminds.com/iot-training-placement/,Yes
BB Academy - Tuition Center,Coaching Institute,4.9,870,7904509575,"25/10, Vivekananda St, MGR Nagar, Nesapakkam, Chennai, Tamil Nadu 600078",Highly Recommended Service,http://blackbuildingacademy.com/,Yes
Blue Ball Technologies,Training Institute,3.9,536,9940193623,Tamil Nadu,Highly Recommended Service,http://blueballinstitute.com/,Yes
Career Success Academy - NEET Coaching Centre in Tambaram,Coaching Institute,4.9,479,7200666620,"ROLEX BAKERY, VIVEKS SHOWROOM COMPLEX, 23,CHANDRA TOWERS",Highly Recommended Service,http://careersuccessacademy.in/,Yes
Chennai Montessori Teacher Training Institute | Arumbakkam,Training Institute,4.9,168,9003940262,"New no 28, 600106, B"" Block, Water Tank Rd",Highly Recommended Service,http://chennaimontessoriteachertraining.com/,Yes
CSC Computer Education T.Nagar,Training Institute,4.2,254,7200001860,"9, Madley Rd, near Saravana Furniture, T. Nagar, Chennai, Tamil Nadu 600017",Highly Recommended Service,http://csceducation.in/,Yes
Das Manpower Consultancy Services,Skill development,4.7,710,4442045493,"178/3&4, 3rd Floor, Kumaran Colony Main Road, Vadapalani, Chennai, Tamil Nadu 600026",Highly Recommended Service,http://dcsjobs.com/,Yes
DLK GROUP,Computer training Center,3.9,23,9751800789,"Raahat Plaza, No. 214/215, 2nd Floor, Vadapalani, Chennai, Tamil Nadu 600026",Highly Recommended Service,http://dlkgroup.in/,Yes
EDIFY TECHNO SOLUTIONS,Training Institute,4.6,847,9043022523,"202, H.NO:23/1, SECOND FLOOR, 5th St",Highly Recommended Service,http://edifytech.in/,Yes
Eggai Raj Silambam payirchi palli,Coaching Institute,4.8,49,9962226274,"25/80A, Defence Colony 1st Ave, Navarathna Garden, Ekkatuthangal, Chennai, Tamil Nadu 600032",Highly Recommended Service,http://eggairajsilambampayirchipalli.com/?utm_source=gmb&utm_medium=referral,Yes
EXITO - FULL STACK DEVELOPER COURSE IN CHENNAI,Coaching Institute,5,31,9884801004,"Raahat Plaza, 36, Arcot Rd",Highly Recommended Service,http://fullstackdevelopercourseinchennai.com/,Yes
Hi-Tech Institution,Computer training Center,4.8,181,7200117161,Puducherry,Highly Recommended Service,http://hitechinstitution.com/,Yes
INDIAN ASSOCIATION OF LIFE SKILLS EDUCATION,Skill development,5,1,9820737709,"Door No. 17, 13, 16th Ave, Raghavareddy Colony, Zaffarkhanpet, Ashok Nagar, Chennai, Tamil Nadu 600083",Highly Recommended Service,http://ialse.net/,Yes
IIHT Vadapalani,Training Institute,4.4,140,9677055562,"No.D-05, 2nd Bus Depo, Arcot Rd, opp. Vadapalani",Highly Recommended Service,http://iihtvadapalani.com/,Yes
Inetz Technologies - Best Software Training Institute in Chennai,Coaching Institute,4.8,283,9884468682,"3rd Floor, K.P Towers, No-159, Arcot Rd, landmark :, opposite Nexus Vijaya Mall",Highly Recommended Service,http://inetztech.com/,Yes
"Intelligence Quality - Lean Six Sigma Training, Consulting & Certification",Training Institute,4.8,1680,9150007732,"Level 9, Olympia Teknos Park 28, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032",Highly Recommended Service,http://iq6sigma.com/,Yes
ITK Education Services Private Limited,Training Institute,4.8,48,4449590596,"D-12, 2nd Floor, Doshi Gardens 174 NSK Salai, Arcot Rd, Vadapalani, Chennai, Tamil Nadu 600026",Highly Recommended Service,http://itkeduserv.com/,Yes
Jaya Group Of Institutions,Computer training Center,3.1,10,4428155531,"26RM+695, Nageswaran Rao Rd",Highly Recommended Service,http://jayagc.org/,Yes
Jk Shah Classes West Mambalam,Coaching Institute,4.7,39,8925305444,"12, Brindavan St Ext",Highly Recommended Service,http://jkshahclasses.com/,Yes
JK SHAH CLASESS,Coaching Institute,4.6,268,8925306444,"1st, Floor, Rosy tower, 13/7, opp. to ICAI BHAVAN",Highly Recommended Service,http://jkshahclasses.com/,Yes
Kadamai Education And Social Welfare Trust,Computer training Center,4.9,595,9003112322,"no 108, 24",Highly Recommended Service,http://kadamaitrust.org/,Yes
Kalam IAS Academy,Coaching Institute,4.8,314,8608615241,"186, Paper Mills Road Near Agaram Junction, Thiru.Vee.Ka.Nagar, Peravallur, Perambur, Chennai, Tamil Nadu 600082",Highly Recommended Service,http://kalamtrainingacademy.com/,Yes
Sap course training in chennai,Training Institute,4.6,189,7397261118,"first floor, 53, Aryagowda Rd, Postal Colony, West Mambalam, Chennai, Tamil Nadu 600033",Highly Recommended Service,http://katvtech.com/,Yes
KUMAR MANGALAM SOLUTIONS,Coaching Institute,4.9,209,8144550093,"12-B , Second Floor, Lock St, opp. ASHOK TAPASVI, Apartment, Varadapuram, Kotturpuram, Chennai, Tamil Nadu 600085",Highly Recommended Service,http://kumarmangalamsolutions.com/,Yes
Leather Sector Skill Council,Skill development,4.7,6,4435101288,"65/1, Grand Southern Trunk Rd, Ramapuram, Guindy Industrial Estate, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032",Highly Recommended Service,http://leatherssc.org/,Yes
Leather Sector Skill Council,Skill development,5,1,4422502350,"1, Grand Southern Trunk Rd, Sadras, Guindy, Chennai, Tamil Nadu 600032",Highly Recommended Service,http://leatherssc.org/contact/,Yes
METHA IAS Academy,Coaching Institute,4.9,562,7305337618,"98A (1st Floor, S Park Rd, near Kalyan Jewellers and Waves Signal Left Side",Highly Recommended Service,http://methaiasacademy.com/,Yes
MIIT GLOBAL SERVICES - Medical Coding Training Institute in Chennai | Placement Company,Coaching Institute,4.7,555,9600085521,"10th Floor, OLYMPIA TECHNOLOGY PARK, Plot No.1, Guindy Industrial Estate, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032",Highly Recommended Service,http://miitglobalservices.com/,Yes
Neram Nata coaching center Chennai,Coaching Institute,4.6,49,9176137043,"#25, F/5A, madhuram flats, 79th Street, 18th Ave, Ashok Nagar, Chennai, Tamil Nadu 600083",Highly Recommended Service,http://neramclasses.com/,Yes
Netaji IAS Academy,Coaching Institute,4.4,230,9282233333,"56, Rameswaram St, next to JAYASRI FLATS, near Mambalam Railway Station, Postal Colony, T. Nagar, Chennai, Tamil Nadu 600017",Highly Recommended Service,http://netajiiasacademy.com/,Yes
P2G tecch,Computer training Center,4.3,28,9043463666,"23, 45, Brindavan St",Highly Recommended Service,http://p2gtecch.com/,Yes
Periyar IAS Academy,Coaching Institute,3.8,12,9940638537,84/1,Highly Recommended Service,http://periyariasacademy.com/,Yes
Phenix Academy,Coaching Institute,4.9,436,8939477477,"2nd floor, Thayagam Building, 60, Ramasamy St",Highly Recommended Service,http://phenixacademy.com/,Yes
Prime Educators Chennai | AnnaNagar | CAT CLAT CUET TANCET SAT Bank GRE GMAT Exam Coaching,Coaching Institute,4.6,247,8870111268,"No. 33, F Block, 2nd Ave, Block F, Anna Nagar, Chennai, Tamil Nadu 600102",Highly Recommended Service,http://primeeducators.com/,Yes
Prime Educators Chennai | Nungambakkam | CAT CLAT CUET TANCET Bank GRE GMAT Exam Coaching,Coaching Institute,4.8,155,8870111372,"G-6, Gems Court 14, Khader Nawaz Khan Rd, Srirampuram, Thousand Lights West, Nungambakkam, Chennai, Poombukar Nagar, Tamil Nadu 600036",Highly Recommended Service,http://primeeducators.com/,Yes
Professor Academy | UGC NET| SET| TRB Exams,Coaching Institute,4.6,482,7070701005,"No. 14, West Avenue, Taylor Estate, Kodambakkam, Chennai, Tamil Nadu 600024",Highly Recommended Service,http://professoracademy.com/,Yes
Providers Skills Academy,Skill development,4.3,23,9171146297,"63, 2nd Floor, Ganesh Building, Venkatanarayana Road, Parthasarathy Puram, T Nagar, Chennai, Tamil Nadu 600017",Highly Recommended Service,http://psaskills.com/,Yes
Real Time Projects-VLSI,Coaching Institute,4,26,7299951536,"Raahat Plaza, Door No : 68 & 70 Ground, Arcot Rd, opp. Vijaya Hospital",Highly Recommended Service,http://realtimeproject.in/,Yes
Mother Theresa Montessori Teacher Training Institute,Training Institute,4.7,57,9025499944,"9, Main Rd",Highly Recommended Service,http://riimtta.com/,Yes
RRM NEET PG/SS CHENNAI OFFICE/ LIBRARY,Coaching Institute,5,57,6384111333,"Third Floor, c/o Nellai Thoothukudi Nadar Mahamai Paripalana Sanagam, No 488, Pantheon Rd",Highly Recommended Service,http://rrmnext.com/,Yes
Skills India Foundation,Skill development,5,3,4466864421,"Spencer Plaza Mall, Anna Salai, Chennai, Tamil Nadu 600002",Highly Recommended Service,http://skillsindiafoundation.in/,Yes
SK Technologies,Training Institute,5,22,9363746503,"13, Bharathiyar St, Ambal Nagar, Ekkatuthangal, Chennai, Tamil Nadu 600032",Highly Recommended Service,http://sktechlearn.com/,Yes
Dot net training institute in chennai,Training Institute,4.8,115,9042710472,"48, Vinayagar Kovil St",Highly Recommended Service,http://softwaretraininginchennai.com/index.html,Yes
Soundars Academy ( CSAT - SSC - Banking - TNPSC),Coaching Institute,4.9,231,9790936303,"3rd floor, PKS Complex, No 101, 4th Ave, AB Block, Shanthi Colony, Anna Nagar, Chennai, Tamil Nadu 600040",Highly Recommended Service,http://soundarsacademy.com/?utm_source=gmb&utm_medium=referral,Yes
SS CRICKET ACADEMY,Coaching Institute,3.9,56,9884394633,"Jawahar Engineering College, 41",Highly Recommended Service,http://sscricketacademy.in/,Yes
SSS Computer Technology,Computer training Center,5,209,7200241509,"No: 207, 1st Floor Subbarayan street, Valluvar Kottam, Valluvar Kottam High Rd, Nungambakkam, Chennai, Tamil Nadu 600034",Highly Recommended Service,http://ssscomputertechnology.com/,Yes
SSSI COMPUTER EDUCATION,Computer training Center,4.8,131,9443646596,"Pazhavanthangal Railway Station, 63, Durai Raj St, opp. to railway station, Palavanthangal, Chennai, Tamil Nadu 600061",Highly Recommended Service,http://sssicomputers.wixsite.com/sssi,Yes
"SAIRAM ACADEMY - TALLY COURSE IN CHENNAI, FULL STACK DEVELOPMENT COURSE IN CHENNAI",Training Institute,5,20,7305343486,":42/36, W Mada St",Highly Recommended Service,http://tallytraininginchennai.com/,Yes
