Name,Category,Ratings,Rating counts,Mobile Number,Address,Segment,Website_clean,Website Status
The Mayflower,Restaurant,4.4,3731,9884486959,"17, Kasturi Rangan Rd, Poes Garden, Teynampet, Chennai, Tamil Nadu 600086",Highly Recommended Service,no website,No
Paati Veedu - Fine Dining Pure Veg. Restaurant,Restaurant,4.2,5675,9962577234,"2, Bhagirathi Ammal St, Rama Kamath Puram, T. Nagar, Chennai, Tamil Nadu 600017",Top Rated Service,https://www.paativeedu.com/,Yes
Anjappar Chettinad Restaurant,Restaurant,3.9,6340,9566280602,"CMRL - Corridor 2, near Udhayam Theatre, Ashok Nagar, Chennai, Tamil Nadu 600078",Top Rated Service,https://www.anjappar.com/,Yes
The Flying Elephant,Restaurant,4.4,1728,8939871128,"Lok Bhavan, 39, Velachery Main Rd, near Raj Bhavan, Guindy National Park, Guindy, Chennai, Tamil Nadu 600032",Highly Recommended Service,https://www.hyattrestaurants.com/en/chennai/restaurant/the-flying-elephant,Yes
Paprika,Restaurant,4.2,1985,4466764000,"Courtyard by Marriott, 564, Anna Salai, Teynampet, Thiru Vi Ka Kudiyiruppu, Teynampet, Chennai, Tamil Nadu 600018",Needs Improvement,https://www.marriott.com/hotels/hotel-information/restaurant/maacy-courtyard-chennai/,Yes
grill house Chennai,Restaurant,4.3,2384,9342707303,"19, Dr Thirumoorthy Nagar Main Rd, near GG Hospital, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034",Needs Improvement,https://grilhouse.petpooja.com/,Yes
Shack Restaurant,Restaurant,4,1940,4426260506,"C 24, 6th St, behind Vishnu Eye Clinic, C Block, Annanagar East, Chennai, Tamil Nadu 600030",Needs Improvement,https://m.facebook.com/shaackrestaurent/,Yes
Madras Spice Restaurant - Egmore,Restaurant,4.5,562,9360931067,"Chinna St, Egmore, Chennai, Tamil Nadu 600008",Highly Recommended Service,https://themadrasgrand.com/restaurant/,Yes
The Patiala House,Restaurant,4.1,3717,4448685117,"Ground Floor, Chetpet, 47/23, Spur Tank road, opp. of Govt. Institute of Thoracic Medicine, Egmore, Chennai, Tamil Nadu 600031",Needs Improvement,no website,No
Six 'O' One,Restaurant,4.8,1885,4442676000,"601, Anna Salai, near US Embassy, Gangai Karai Puram, T. Nagar, Chennai, Tamil Nadu 600006",Highly Recommended Service,http://www.theparkhotels.com/,Yes
Sri Venkateshwara Dal Roti,Restaurant,4,974,9840027322,"No:12 Jawaharlal Nehru Salai Ekkatuthangal, Ambal Nagar, Gandhi Nagar, Chennai, Tamil Nadu 600032",Needs Improvement,no website,No
Zaitoon Signature,Restaurant,4.6,7960,7092322223,"Old No 57, New 15, Valluvar Kottam High Rd, Ponnangipuram, Ambal Nagar, Nungambakkam, Chennai, Tamil Nadu 600034",Top Rated Service,https://thezaitoon.com/,Yes
Hotel Al Buhari Since 1988,Restaurant,2.8,85,8124495555,"20 32A, Arunachalam Rd, Saligramam, Chennai, Tamil Nadu 600026",Needs Improvement,http://albuhari.com/,Yes
Basil With a Twist,Restaurant,4.3,3327,9841085611,"58 A, Habibullah Rd, near Vidyodaya School, Gangai Karai Puram, T. Nagar, Chennai, Tamil Nadu 600017",Needs Improvement,no website,No
The Marina,Restaurant,4.4,3962,9025406913,"39, College Ln, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600006",Highly Recommended Service,http://advantagefoods.in/,Yes
CHENNAI FOOD TOWN,Restaurant,4.2,235,9962212722,"1/2, JN Salai, Poomagal Nagar, Ekkatuthangal, Chennai, Tamil Nadu 600032",Needs Improvement,http://www.chennaifoodtown.com/,Yes
Texas Bar & Kitchen,Restaurant,4.2,160,7338991222,"Porur Sundaram Street, Periyar Rd, T. Nagar, Chennai, Tamil Nadu 600017",Needs Improvement,https://www.zomato.com/chennai/texas-bar-kitchen-t-nagar,Yes
Little Kerala,Restaurant,4.6,161,9884111333,"AG 73, Shanthi Colony, Anna Nagar, Chennai, Tamil Nadu 600040",Highly Recommended Service,no website,No
KFC,Restaurant,4.2,2710,4447709357,"TS 5/3, Vijaya Forum Mall, 183/188, Arcot Rd, Palaniappa Nagar, Vadapalani, Chennai, Tamil Nadu 600026",Needs Improvement,https://restaurants.kfc.co.in/kfc-vadapalani-restaurants-vadapalani-chennai-35100/home?utm_source=locator&utm_medium=googleplaces,Yes
PLUTOS RESTAURANT,Restaurant,4.2,2563,7397341783,"4, khan street, Choolaimedu High Rd, opp. to Mcrennett bakery, Choolaimedu, Chennai, Tamil Nadu 600094",Needs Improvement,https://plutosrestaurant.com/,Yes
Adyar Ananda Bhavan - A2B,Restaurant,3.9,3430,4440902249,"2, Jawaharlal Nehru Salai, Balaji Nagar, Ekkatuthangal, Chennai, Tamil Nadu 600032",Needs Improvement,https://a2b.world/,Yes
Mex It Up - World On A Plate,Restaurant,4.5,608,7338706553,"Mex It Up, 59, KB Dasan Rd, opposite SIET COLLEGE, Seethammal Extension, Teynampet, Chennai, Tamil Nadu 600018",Highly Recommended Service,http://chefkavyaverghese.com/,Yes
SpiceKlub (Chennai),Restaurant,4.2,2214,8056160606,"H M Centre, 29, Nungambakkam High Rd, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034",Needs Improvement,https://www.spiceklub.com/chennai.html,Yes
North East Kitchen (Specialty Cuisine Restaurant),Restaurant,4.3,1222,9003542066,"24, Wellingdon Estate, 53, Ethiraj Salai, Egmore, Chennai, Tamil Nadu 600008",Needs Improvement,no website,No
Hotel campus Saligramam,Restaurant,3.7,356,8507360360,"Arunachalam Rd, Saligramam, Chennai, Tamil Nadu 600026",Needs Improvement,no website,No
Coal Barbecues,Restaurant,4.2,25488,8448449928,"17, 7th Cross Street, Rajalakshmi Nagar, Velachery, Chennai, Tamil Nadu 600042",Top Rated Service,https://coalbarbecues.com/book-a-table/,Yes
Urban Grill,Restaurant,4.1,434,7299906111,"47/2, opp. to SM Hospital, Kannigapuram, Sector 3, K. K. Nagar, Chennai, Tamil Nadu 600078",Needs Improvement,no website,No
Azzuri Bay,Restaurant,4,3302,8754490250,"13, 1st Cres Park Rd, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020",Needs Improvement,no website,No
Go Native Chennai,Restaurant,4.7,911,8951927306,"14, Ananda Rd, Alwarpet, Chennai, Tamil Nadu 600018",Highly Recommended Service,https://www.gonative.in/,Yes
Palm Jumeira Multicuisine Restaurant,Restaurant,4,2171,4449587004,"144, Greams Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006",Needs Improvement,no website,No
Sangeetha Veg Restaurant,Restaurant,4,11194,4422313207,"65, Anna Salai, Race View Colony, Guindy, Chennai, Tamil Nadu 600032",Top Rated Service,http://www.sangeethaveg.com/,Yes
Sagar Restaurant,Restaurant,4.1,1078,8925185553,"NO.119 , Old No.64 , FIRST FLOOR, Anna Salai, Guindy, Chennai, Tamil Nadu 600032",Needs Improvement,https://www.facebook.com/84sagar,Yes
Palmshore Restaurant Ashok Nagar,Restaurant,4.6,22106,9043602244,"95, Jawaharlal Nehru Salai Jaffarkhanpett, near Kasi Theatre, Ashok Nagar, Chennai, Tamil Nadu 600083",Top Rated Service,https://www.palmshore.in/,Yes
The Brick Oven,Restaurant,4.4,1330,8939836180,"35, Gopathy Narayana Rd, Lakshimi Colony, T. Nagar, Chennai, Tamil Nadu 600017",Highly Recommended Service,https://www.theaccordhotels.com/property/metropolitan-chennai/,Yes
Enoki Pan Asian Story,Restaurant,4.5,545,9344912277,"Fortel, No:3, Gandhi Irwin Rd, Ansari Estate, Egmore, Chennai, Tamil Nadu 600008",Highly Recommended Service,no website,No
