Name,Category,Ratings,Rating counts,Mobile Number,Address,Segment,Website_clean,Website Status
"Arunachala Dental Clinic General, Paediatric and Geriatric Dental Care",Dental clinic,5,108,7305944620,"Valaiguru Complex, 12, Elango Salai Rd",Highly Recommended Service,http://arunachaladentalclinicteynampet.com/,Yes
Chennai Dental Centre Broadway,Dental clinic,4.4,14,9383370890,"97, Broadway Rd",Highly Recommended Service,http://chennaidental.com/,Yes
Crea Dental Clinic - Dr. Abhinav Giri,Dental clinic,5,35,8778548741,"1st floor, 16/1, Sait Colony 1st St, above Freshco",Highly Recommended Service,http://creadentalclinic.com/,Yes
Suraksha Dental Clinic,Dental clinic,4.1,18,4424640841,"Meera Apartments, 3/2, 4th Main Rd",Highly Recommended Service,http://dentalsuraksha.weebly.com/,Yes
Dr. Alice Dental Care | Invisalign Provider,Dental clinic,5,113,9500315184,"MKN Rd, near Sukkubhai Biriyani",Highly Recommended Service,http://dralicedental.in/,Yes
Dr.Gupta's Dental Specialities Centre,Dental clinic,4.9,1484,9884128209,"A2, Maruthi Apts, 87, Alagappa Rd, adj. to Indian bank, opp. to Lady MCTM School, Purasaiwakkam, Chennai, Tamil Nadu 600084",Highly Recommended Service,http://drguptadentalcare.com/,Yes
Bristles multi-speciality dentistry,Dental clinic,5,66,9840620120,"Bristles multispeciality Dentistry, 5th Ave, Sarvamangala Colony, Vivekanandapuram, Ashok Nagar, Chennai, Tamil Nadu 600083",Highly Recommended Service,http://drkaviarasan.drxpro.in/,Yes
Rayen Dental Care Centre,Dental clinic,4.9,577,4428277766,"Redbricks Leela Apartments, 30/1, Tank Bund Rd, Nungambakkam, Chennai, Tamil Nadu 600034",Highly Recommended Service,http://drroshandentistchennai.com/,Yes
Elite Dentistry,Dental clinic,4.9,83,4442815515,"No.H, 1632B, Mayfield Apartments, 13th Main Rd",Highly Recommended Service,http://elitedentistry.in/,Yes
Dr. Pooja's Esthetic Dental Clinic,Dental clinic,5,105,9710420033,Venkatesapuram Colony 3rd Cross St,Highly Recommended Service,http://estheticnsmile.blogspot.com/,Yes
NANDHINI DENTAL CARE - BEST DENTAL CLINIC IN SEVEN WELLS(near me),Dental clinic,4.9,51,8682801220,"New 96, Old no 90, Shanmugarayan Street, Seven Wells St",Highly Recommended Service,http://g.co/kgs/ympqpjk,Yes
"Global Dental Care (Dr M Shanmugam MDS), Best Dental Clinic & Implant center in Thiruvanmiyur ECR, Chennai",Dental clinic,4.9,527,9445000132,"3, 1st Ave Rd",Highly Recommended Service,http://globaldentalcare.in/,Yes
Implantree Dental Hospital,Dental clinic,4.8,331,9840915849,"2nd Floor, Anira Apartments, Plot. No. 43/1, S-1, Arunachalam Rd, opp. Prasad Lab, Saligramam, Chennai, Tamil Nadu 600093",Highly Recommended Service,http://implantree.com/,Yes
Dr.Joshua's Dental Care,Dental clinic,4.9,454,9677038108,"Plot no: 5, A.K.S Tower, Sakthi Nagar Main Rd, Sakthi Nagar, Porur, Chennai, Tamil Nadu 600116",Highly Recommended Service,http://joshuadentalcare.com/,Yes
Jothi Dental Centre,Dental clinic,5,125,4422300088,"New No 45, Old, Velachery Main Rd, Little Mount, Saidapet, Chennai, Tamil Nadu 600015",Highly Recommended Service,http://jothidentalcentre.com/,Yes
Miswak Dental Clinic - Best Dental Clinic in Pudupet,Dental clinic,5,29,9884295688,"10, Basha Ave",Highly Recommended Service,http://miswakdentalcare.in/,Yes
iTooth Dental Clinic,Dental clinic,4.9,196,7299400448,"107, Gangaiamman Koil St",Highly Recommended Service,http://mocdoc.in/hospital/itooth,Yes
Dr. Rao Dental Clinic,Dental clinic,4.9,365,9962112181,"Sait Colony, 1st, Cross Street",Highly Recommended Service,http://raodentalclinic.com/,Yes
ROOTZ DENTAL CARE AND IMPLANT CENTER,Dental clinic,4.9,476,9786688755,"No:2/2, First Floor, Rajiv Gandhi Salai",Highly Recommended Service,http://rootzdentalcare.in/,Yes
RR TEETH CARE & DENTAL IMPLANT CENTRE,Dental clinic,5,30,7708177761,"1st Floor, No 20, Old No: 247, New, Angappa Naicken St, opp. to Eathkamas Street",Highly Recommended Service,http://rrteeth.dental-care.co.in/,Yes
Shakthi Dental Care,Dental clinic,4.7,67,4424528089,"Selvamuthukumar, 52, Dr S.C, Mahatma Gandhi Rd",Highly Recommended Service,http://shakthidental.com/,Yes
Smile Garden Dental Care And Orthodontic Centre,Dental clinic,4.9,187,7550089495,"Plot No3 F2 srinivas flats Vijayanagar 13th main road, Velachery - Tambaram Main Rd",Highly Recommended Service,http://smilegarden.in/,Yes
Sri Sanjeev Multispeciality Dental Clinic- Dentist in West Mambalam - Dental Clinic in West Mambalam,Dental clinic,5,154,9941348601,"1,Narasimhan street,Facing 43A, Lake View Rd",Highly Recommended Service,http://srisanjeevdental.com/,Yes
Tanzi Dental Clinic,Dental clinic,5,459,8056009057,"#11/5, Jani Jan Khan Road, 1st Ln",Highly Recommended Service,http://tanzidental.com/,Yes
The Dentists,Dental clinic,4.3,137,4423746444,"Priyan Plaza, No. 76/52, 4, Nelson Manickam Rd, Aminjikarai, Chennai, Tamil Nadu 600030",Highly Recommended Service,http://thedentistspro.com/,Yes
Tooth & Co,Dental clinic,5,18,7358306036,"4, 64, Balakrishna Naicker St",Highly Recommended Service,http://toothandcompany.in/,Yes
VENKATESWARA LASER DENTAL CLINIC & IMPLANT CENTRE,Dental clinic,4.9,544,4442823337,"Old: 6/2 Flat no: A1 New:, 27, Reddy Kuppam Rd, Panneerselvam Nagar, West Mambalam, Chennai, Tamil Nadu 600033",Highly Recommended Service,http://vdic.co.in/,Yes
MM Dental Care,Dental clinic,4.9,206,9444071251,"No.20A, 3rd Main Rd, Seetammal Colony, Seethammal Colony, MIG Colony, Alwarpet, Chennai, Tamil Nadu 600018",Highly Recommended Service,http://www.24hoursdentist.in/,Yes
