Name,Category,Ratings,Rating counts,Mobile Number,Address,Segment,Website_clean,Website Status
SUGUNA PEST CONTROL,Pest control service,4.8,1349,9884577222,"99, Appar Swami Koil St N, Luz, Mylapore, Chennai, Tamil Nadu 600004",Highly Recommended Service,https://www.sugunapestcontrol.in/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Yes
ACS Cleaning Services,House cleaning,3.9,15,9677002830,"No 10, Karunanidhi 2nd St",Needs Improvement,http://acscleaning.in/,Yes
PC Pest Control,Pest control service,5,1346,9884064677,"Kalyanamandapam Complex, No: 22, J Block, No: 4, Kanchi Colony, S Boag Rd, opp. to Krishnasamy, T. Nagar, Chennai, Tamil Nadu 600017",Highly Recommended Service,http://www.pcpestcontrol.in/,Yes
Gurudev ?oda Service Centre,Car service center,4.5,1300,9841165404,14B Kara flats Manikandan nagar 2nd street star Metrocity kundrathur,Highly Recommended Service,https://dealers.skoda-auto.co.in/gurudev-skoda-service-centre-gurudev-motors-pvt-ltd-car-dealer-guindy-chennai-67728/home,Yes
"Maruti Suzuki ARENA (Vishnu Cars, Chennai, Ekkaduthangal)",Car service center,4.6,2900,9884600091,Bazaar Main Rd,Top Rated Service,http://arenaofekkatuthangal.com/?utm_source=gmb&utm_medium=google,Yes
Call4cleaners,House cleaning,3,193,9080020887,"103, Krishna street, Jawaharlal Nehru Salai, Anna Nagar, Tharamani, Chennai, Tamil Nadu 600113",Needs Improvement,http://call4cleaners.com/,Yes
Maruti Suzuki Service (Popular Vehicles & Services),Car service center,4.6,1139,8037580455,"93/1 New, 258/1, Arcot Rd, Virugambakkam, Chennai, Tamil Nadu 600087",Highly Recommended Service,https://www.arenaofannanagar.com/maruti-suzuki-service,Yes
Crystal Clear Pro - Home Deep Cleaning/Office Cleaning in Chennai - Pest Control & House Cleaning Service in Chennai,House cleaning,4.8,1116,9962395050,"5-54, 2nd Floor, Rajendra Prasad St, opposite ST. THERESA GIRLS HIGHER SECONDARY SCHOOL-PALLAVARAM, Cantonment, Pallavaram, Chennai, Tamil Nadu 600043",Highly Recommended Service,https://crystalclearpro.in/,Yes
Home Deep Cleaning & office deep cleaning Chennai & villa cleaning,House cleaning,4.9,1112,9566020329,"3/159 Bharathiyar Street Karapakkam Chennai OMR road, SH 49, Karapakkam, Chennai, Tamil Nadu 600097",Highly Recommended Service,https://homedeepcleaningchennai.com/,Yes
Kavi Pest Control,Pest control service,5,1100,9677500997,"53, Rajiv Gandhi St",Highly Recommended Service,http://kavipestcontrol.com/,Yes
Pestronics services pvt ltd,Pest control service,4.8,1037,9884077365,"Police Station, 1, 2nd Main Rd, near Madipakkam, Ranga Nagar, Keelkattalai, Chennai, Tamil Nadu 600117",Highly Recommended Service,http://www.pestronics.com/,Yes
Service Square,House cleaning,4.7,963,8680995555,"No.10, First Floor, Ganapathy Colony, Poomagal First St, near Olympia Junction, Ekkatuthangal, Chennai, Tamil Nadu 600032",Highly Recommended Service,https://servicesquare.com/,Yes
JCS Pest Control Services in Chennai,Pest control service,5,941,7823978639,"63, 95B, Oragadam Rd, Vijayalakshmi Puram, Ambattur, Chennai, Tamil Nadu 600053",Highly Recommended Service,http://jcspest.com/,Yes
Pest Control 24x7,Pest control service,4.7,931,9940148839,"54, E Club Rd, Parameswaran Nagar, Venkatasamy Nagar, Shenoy Nagar, Chennai, Tamil Nadu 600030",Highly Recommended Service,http://www.pestcontrol24x7.com/,Yes
Green Clean Services,House cleaning,4.1,15,9087633317,"26, Gandhi Salai, Pazhavanthangal, Chennai, Tamil Nadu 600061",Needs Improvement,http://greencleanservices.in/,Yes
"3M Car Care Studio - Car Detailing, Ceramic Coating and PPF, Virugambakkam",Car service center,4.5,874,8879496957,"201, Arcot Rd, opposite Chandra Metro Mall, Sankareswarar Nagar, Virugambakkam, Chennai, Tamil Nadu 600092",Highly Recommended Service,https://3mcarcare.3mindia.co.in/3m-car-care-studio-car-detailing-ceramic-coating-and-ppf-virugambakkam-car-restoration-service-virgambakkam-chennai-327922/home?utm_source=locator&utm_medium=googleplaces,Yes
M/S. Vinayaga Motors - Hero Motocorp Ltd,Car service center,4.5,857,9884912320,"old no.31, new no. 30, 1, Postal Colony 1st St",Highly Recommended Service,https://dealers.heromotocorp.com/locator/chennai/ashok-nagar/vinayaga-motors-hero-motocorp-in-ashok-nagar-chennai--42bei4/home,Yes
PC Pest Control Services in Chennai,Pest control service,5,854,9940677120,"New no. 18, Old No.102, First Floor, Ellaiamman Kovil St, West Mambalam, Chennai, Tamil Nadu 600033",Highly Recommended Service,https://pcpestcontrol.in/,Yes
Full Throttle Automotive,Car service center,4.7,729,9962437373,"1/44, PH ROAD, Nerkundrum, next to Palmshore hotel, Koyambedu, Chennai, Tamil Nadu 600107",Highly Recommended Service,https://www.ftacarcare.com/,Yes
Hyundai Motor Plaza Service Chennai,Car service center,4.4,1573,8925992333,"Developed Plot, Thiru-vi-ka Industrial Estate, NP54, Chennai - Theni Hwy, Ekkatuthangal, Chennai, Tamil Nadu 600032",Top Rated Service,http://hmp.hyundaimotor.in/,Yes
"KUN Hyundai, Arumbakkam",Car service center,4.5,703,9841061319,"Chennai, Tamil Nadu",Highly Recommended Service,http://www.kunhyundai.com/,Yes
Tata Motors Commercial Vehicle Dealer - Popular Mega Motors,Car service center,4.8,661,9841246944,"60/31, Reddy St",Highly Recommended Service,https://commercial-vehicles.fleetverse.tatamotors.com/tata-motors-commercial-vehicle-dealer-popular-mega-motors-truck-dealers-ashok-nagar-chennai-190527/home,Yes
