Name,Category,Ratings,Rating counts,Mobile Number,Address,Segment,Website_clean,Website Status
A.R.Traders,Furniture store,4.3,79,9500081341,"3/69, Valluvar Salai, Sakthi Nagar, Senthamil Nagar, Gangaiyya Nagar, Ramapuram, Chennai, Tamil Nadu 600089",Highly Recommended Service,http://artraderscnc.com/,Yes
Deccan Furniture,Furniture store,4.2,465,7305270333,"No. 2/370-a, na, Mount Poonamallee High Road, Iyyappanthangal, Kattupakkam, Chennai, Tamil Nadu 600056",Needs Improvement,http://deccanfurniture.com/,Yes
Fezmo Eazy Living- Customised furnitures,Furniture store,4.7,74,8818812281,"72, Kodambakkam High Rd, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034",Needs Improvement,http://fezmofurniture.com/,Yes
Firstcry.com Store Chennai Vadapalani,Clothing store,4.9,766,4446137306,"New Suvery, New Door No.84, Arcot Rd, Saligramam Village, Vadapalani, Chennai, Tamil Nadu 600093",Top Rated Service,http://firstcry.com/,Yes
Furniture Mall - Biggest Furniture Store In Chennai,Furniture store,4,560,7305390333,"IT Expressway, 248/1, Rajiv Gandhi Salai, Kandhanchavadi, Perungudi, Chennai, Tamil Nadu 600041",Needs Improvement,http://furnituremall.co.in/,Yes
GLAMULOUS CLOTHING COMPANY ?,Clothing store,4.9,57,8939330398,"1st Floor, 49, Elephant Gate St, above Bhandari's Mens Wear, near Wall Tax Road, Sowcarpet, George Town, Chennai, Tamil Nadu 600001",Needs Improvement,http://glamulousclothing.in/,Yes
Kerala Jewellers,Jewelry store,4.7,130,4424348967,"34, below big bazaar, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017",Needs Improvement,http://keralajewellers.in/,Yes
Majestic Furniture,Furniture store,4.6,141,9600065585,"Metro Pillar No 184, 138, Arcot Rd, East Kamakoti Nagar, Valasaravakkam, Chennai, Tamil Nadu 600087",Highly Recommended Service,http://majesticfurniture.in/,Yes
Mercy Electronics,Electronics store,3.9,410,8939884429,"Shop No. 447, 1, Poonamallee High Rd, Aminjikarai, Chennai, Tamil Nadu 600030",Needs Improvement,http://mercyelectronics.in/,Yes
MODERN FRAMES - Wedding Films & Camera Rentals,Electronics store,4.6,32,9788228822,"Srinivasa Apartment, 7, 15 7, 3rd St, Kumaran Colony, Vadapalani, Chennai, Tamil Nadu 600026",Highly Recommended Service,http://modernframes.co.in/,Yes
Original Kerala Jewellers,Jewelry store,4.6,1109,9884620063,"74, N Usman Rd, opp. Ranganathan Street, Postal Colony, T. Nagar, Chennai, Tamil Nadu 600017",Highly Recommended Service,http://okj.in/,Yes
Om Sairam Jewellery Palace,Jewelry store,4.8,42,8220832758,"Old No. 3/8, New. 19/8, Mothilal Street, Dhandapani St, near Ranganathan Street, T. Nagar, Chennai, 600017",Needs Improvement,http://omsairamsilvershop.com/,Yes
Burma Traders,Clothing store,4.9,206,8939390000,"1st floor, 59, Godown Street, near Parvathi Silk Shop, Parry's Corner, George Town, Chennai, Tamil Nadu 600001",Needs Improvement,http://onlineburma.com/,Yes
QUEEN FURNITURE,Furniture store,4.9,97,9940204065,"Venkateshwara Nagar, Ramapuram, Chennai, Tamil Nadu 600116",Needs Improvement,http://queenfurniture.in/,Yes
Shankeshwara Jewellers | Best Natural & Lab Grown Diamond Jewelry in Chennai | Unbeatable Wholesale Prices,Jewelry store,5,316,8778297179,"MANIBHADRA ENCLAVE, 121, Anna Pillai St, SOWCARPET, George Town, Chennai, Tamil Nadu 600001",Needs Improvement,http://shankeshwarajewels.com/,Yes
SHREE JEWELLERS,Jewelry store,4.6,19,9710703322,"1, 6, Gandhi St, Alwartirunagar, Valasaravakkam, Chennai, Tamil Nadu 600087",Highly Recommended Service,http://shree-jewellers.com/,Yes
Sri Ganesh Jewellers,Jewelry store,4.4,121,9791005306,"644/47/48, PH Road, Thiruveethi, Tiruveedhi Amman Koil St, Aminjikarai, Chennai, Tamil Nadu 600030",Highly Recommended Service,http://sriganeshjewellers.in/,Yes
"The Phone Co, Chennai",Mobile store,4.5,409,6374536262,"Ground Floor, Rainbow Seetharaman Plaza, Shop No, 16 & 17, Purasaivakkam High Rd, opp. to MadharSha Garden, Chennai, Tamil Nadu 600007",Highly Recommended Service,http://thephoneco.in/,Yes
Unicorn Power Solutions Pvt Ltd,Electronics store,4.8,50,9600023388,"First Floor, 191/1, S.V Lingam Salai, Ottagapalayam, Sector 15, K. K. Nagar, Chennai, Tamil Nadu 600078",Needs Improvement,http://unicornpower.com/,Yes
VIVARSHA Boutique,Clothing store,5,6,7871710311,"D.No:7, 1st Floor, J'sons Apartments, 12/31, 12th Ave, R.V. Nagar, Mettuppalayam, Ashok Nagar, Chennai, Tamil Nadu 600083",Needs Improvement,http://vivarsha.com/,Yes
"New Ideas Fashions Jewellery - Bridal Jewellery for Rent in Chennai, Wedding Jewellery Sets, and Party Jewels",Jewelry store,4.9,231,9165888555,"Door no 21, Rainbow Arcade Shop no 20 First floor, 22-23, Sir Thyagaraya Rd, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017",Needs Improvement,http://weddingjewelleryforrent.com/contact-us/,Yes
Anokhi,Clothing store,4.2,359,4424311495,"106, Pasumpon Muthuramalinga Thevar Rd, RA Puram, Austin Nagar, Alwarpet, Chennai, Tamil Nadu 600028",Needs Improvement,http://www.anokhi.com/,Yes
AZee Mobiles (MI Showroom),Mobile store,4.2,90,9840276207,"Shop No:171 a, Arcot Rd, near LAMECH SCHOOL, Palaniappa Nagar, Valasaravakkam, Chennai, Tamil Nadu 600087",Needs Improvement,http://www.azee.in/,Yes
Balecha Gadget Zone,Mobile store,4.9,111,9884288888,"NO 40, New, Sir Thyagaraya Rd, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017",Needs Improvement,http://www.balechagadgetzone.com/,Yes
Beena Textiles,Clothing store,4.5,45,9840363405,"No:56, 2 nd floor, 65, Anna Salai, near Sangeetha veg restaurant, Race View Colony, Guindy, Chennai, Tamil Nadu 600032",Highly Recommended Service,http://www.beenatextiles.in/,Yes
New Big Furn Furniture - Wakefit store,Furniture store,4.8,50,9789860477,"thirumangai apartment, G-1, Poonamallee High Rd, Kumananchavadi, Chennai, Tamil Nadu 600056",Needs Improvement,http://www.bigfurn.in/,Yes
Bridal Makeup Artist Vijay|Best Bridal Makeup Artist in Chennai|Best Wedding Makeup Artist Chennai|Celebrity & Party Makeup,Clothing store,4.9,307,8015777886,"Shop No:151,1st Floor, Raahat Plaza, No:172, Arcot Rd, Ottagapalayam, Somasundara Bharathi Nagar, Vadapalani, Chennai, Tamil Nadu 600026",Needs Improvement,http://www.bridalmakeupartistvijay.com/,Yes
CBIGS Jewellery - Antique Jewellery Shop In Chennai,Jewelry store,4.2,59,9444007111,"526, Dr, Ramaswamy Salai, Sector 4, K. K. Nagar, Chennai, Tamil Nadu 600078",Needs Improvement,http://www.cbigsjewels.com/,Yes
Colorbox Rentals - Photo & Video Equipment Rental Company | Camera Rental in Chennai,Electronics store,4.4,72,9841573556,"23, Pillayar Koil St, near canara bank ATM, Vadapalani, Chennai, Tamil Nadu 600026",Highly Recommended Service,http://www.colorboxrentals.com/,Yes
Cotton House,Clothing store,4.1,6662,4424454442,"68, Lattice Brg Rd, Kamaraj Nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041",Highly Recommended Service,http://www.cottonhouse.co.in/,Yes
Cotton World,Clothing store,4.3,176,4428332074,"1st Floor, Amble Side, 8, Khader Nawaz Khan Rd, Nungambakkam, Chennai, Tamil Nadu 600006",Highly Recommended Service,http://www.cottonworld.net/,Yes
Fabloe Fabrics,Clothing store,4,600,9677290503,"1 A Rama Street, Off, Bazullah Rd, Chennai, Tamil Nadu 600017",Needs Improvement,http://www.fabloe.in/,Yes
Fabrico by Jain Impex,Clothing store,4.5,67,4428142126,"2nd floor, 98/99, Habibullah Rd, next to Pasumpon Devar Kalyana, above Jain Housing, Parthsarathy Puram, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017",Highly Recommended Service,http://www.fabricstocks.com/,Yes
Babyhug Store - Chennai KK Nagar,Clothing store,4.8,2999,4448070478,"247/4, Green Peace Brooke Dale Sector 2, KK Nagar, P.T. Rajan Salai, Nagar, Chennai, Tamil Nadu 600078",Top Rated Service,http://www.firstcry.com/,Yes
Furn World,Furniture store,4.3,146,4424806687,"Chitra Towers, 332 A, Arcot Rd, Trustpuram, Kodambakkam, Chennai, Tamil Nadu 600024",Highly Recommended Service,http://www.furnworld.net/,Yes
GANI FASHION,Clothing store,4,31,7200599968,"Golden Plaza, 43, Ranganathan St, Postal Colony, T. Nagar, Chennai, Tamil Nadu 600017",Needs Improvement,http://www.ganifashion.com/,Yes
"Girias Porur, Chennai - Electronics and Home Appliances Store",Electronics store,4.9,1509,8939254222,"69, Arcot Rd, Ganesh Nagar, Porur, Chennai, Tamil Nadu 600116",Top Rated Service,http://www.giriasindia.com/,Yes
"Girias Velachery, Chennai - Electronics and Home Appliances Store",Electronics store,4.8,3005,8939970349,"Door No. 3c, 100 Feet, Taramani Link Rd, Velachery, Chennai, Tamil Nadu 600042",Top Rated Service,http://www.giriasindia.com/,Yes
Girias TNagar Branch - Electronics and Home Appliances Store,Electronics store,4.7,3888,8939970745,"25,Ramanathan Street, Mahalingapuram Main Rd, Chennai, Tamil Nadu 600034",Top Rated Service,http://www.giriasindia.com/,Yes
"Girias Mogappair, Chennai - Electronics and Home Appliances Store - Buy Latest Smartphones, Laptops, Smart TV, AC",Electronics store,4.9,6848,8939974222,"B26, 3, Kambar St, Mogappair West, Subramania Salai, Koyambedu, Chennai, Tamil Nadu 600037",Top Rated Service,http://www.giriasindia.com/,Yes
GKR OPTICS,Optician,4.6,54,9790797177,"246, Rangarajapuram Main Rd, Director's Colony, Kodambakkam, Chennai, Tamil Nadu 600024",Highly Recommended Service,http://www.gkroptics.com/,Yes
S S Electronics,Electronics store,4.8,16,9841935896,"25MP+XV8, Annai Sathya Nagar, Nesapakkam, Chennai, Tamil Nadu 600089",Needs Improvement,http://www.globalglasssolutions.in/,Yes
Golden Furniture - Adyar,Furniture store,4.9,273,4424411599,"New No.9 Old No.4/2, Kamaraj Ave 2nd St, Adyar, Chennai, Tamil Nadu 600020",Needs Improvement,http://www.goldenkrafts.com/,Yes
N Gopaldaas Jewellers | Chennai,Jewelry store,4.8,435,8220007401,"251, TTK Rd, Alwarpet, Chennai, Tamil Nadu 600018",Needs Improvement,http://www.gopaldasjewellers.com/,Yes
"GRT Jewellers - Mangesh Street, T. Nagar",Jewelry store,4.9,11351,4424340279,"No. 118,119, 120, Mangesh St, opp. OTTO Show Room, Postal Colony, T. Nagar, Chennai, Tamil Nadu 600017",Top Rated Service,http://www.grtjewels.com/,Yes
IASR SOFA DESIGNER Sofa Repair & Service,Furniture store,5,251,9941484199,"47/6a, 4th Street, Kanu Nagar, Nesapakkam, Chennai, Tamil Nadu 600078",Needs Improvement,http://www.iasrsofadesigner.com/,Yes
ICKON SYSTEMS,Electronics store,5,2,9283121161,"New, 60, S Sivan Kovil St, Vadapalani, Chennai, Tamil Nadu 600026",Needs Improvement,http://www.ickonsystems.in/,Yes
"IFURN - Furniture Store , Home and Office Furniture and Furnishing Store",Furniture store,4.9,120,9884790486,"New no:69,old no:23A, Koovam River Bridge Nelson Manickam Road, Koovam Bridge, near Metha Nagar, Choolaimedu, Chennai, Tamil Nadu 600094",Needs Improvement,http://www.ifurn.in/,Yes
BEST FURNITURES,Furniture store,4.6,51,7502743743,"1st Floor, NMZ Complex, 2/2A, Demellows Rd, near Natraj Theatre, Thattankulam, Choolai, Chennai, Tamil Nadu 600007",Highly Recommended Service,http://www.instagram.com/best_furniture_9,Yes
JAYAM Electronics,Electronics store,4.7,49,9444001354,"13/43, Annamalai Nagar 3rd St, Mettupalayam Market, Ethiraj Nagar, West Mambalam, Chennai, Tamil Nadu 600033",Needs Improvement,http://www.jayamelectronics.in/,Yes
Jayabharatham Furniture Nanganallur,Furniture store,4,138,4443586661,"No.7/20A, 1st Floor, 4th Main Road,, Nanganallur,, near Murugan Idli Kadai, Chennai, Tamil Nadu 600061",Needs Improvement,http://www.jfa.in/,Yes
JFA Furniture Showroom,Furniture store,4.2,628,4428132403,"N0:33, Royapettah High Rd, Azad Nagar, Royapettah, Chennai, Tamil Nadu 600014",Needs Improvement,http://www.jfa.in/,Yes
Jhillmill,Jewelry store,4.2,336,4448599226,"40, Pinjala Subramaniam St, Postal Colony, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017",Needs Improvement,http://www.jhillmill.com/,Yes
Reliance Jio Digital Xpress Mini,Electronics store,3.7,306,4442303350,"No. 3, Ellai Muthalamman Koil Street, 100 Feet Road, Vadapalani, Chennai, Tamil Nadu 600026",Needs Improvement,http://www.jio.com/,Yes
Kapleshwar Optics,Optician,4.6,114,4428158700,"14, Coats Rd, Off North Usman Road, T. Nagar, Chennai, Tamil Nadu 600017",Highly Recommended Service,http://www.kapleshwar.com/,Yes
