Name,Category,Ratings,Rating counts,Mobile Number,Address,Segment,Website_clean,Website Status
360 Property Management Services,Real estate,4.6,124,9087005533,"82/3, 1st St, Ashok Nagar, Chennai, Tamil Nadu 600083",Highly Recommended Service,http://360propertymanagement.in/,Yes
Association of Professional Property Consultants of Chennai,Real estate,4.6,14,9941945554,"#721, Anna Salai",Highly Recommended Service,http://appcc.in/,Yes
"ASR Associates - Commercial Office Space, Factory, Warehouse, for lease & Re-Sale Properties to buy & Sell in Chennai",Real estate,5,61,9500179577,"57/22, 1st Floor, Kavarai St, West Mambalam, Chennai, Tamil Nadu 600033",Highly Recommended Service,http://asrproperties.in/,Yes
"Anand Realty Services (Land Sale, Lease, Rent, Buying, Selling, House, Home)",Real estate,5,2,Unknown,5+ years in business,Highly Recommended Service,http://asydrealestate.in/,Yes
Aysha Real Estate Private Limited,Real estate,4.4,21,9600102222,"No. 2B, Govinda St",Highly Recommended Service,http://aysharealestate.com/,Yes
CeeYen Real Estate Agency® || Real Estate Agents in Chennai || Real Estate Company,Real estate,4.9,2502,9042335335,"476, 2nd Floor, 19th Street, 4th sector, K. K. Nagar, Chennai, Tamil Nadu 600078",Top Rated Service,http://ceeyen.com/,Yes
CHENNAI INDIA PROPERTIES PRIVATE LIMITED,Real estate,4.1,10,9444033283,"No.6, Sadullah Road, CIT Nagar East, T. Nagar, Chennai, Tamil Nadu 600017",Highly Recommended Service,http://chennaiindiaproperties.com/,Yes
Chennai Properties Online,Real estate,5,3,9962454789,"1st Floor, 76 A, 9th St, Z Block, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",Highly Recommended Service,http://chennaipropertiesonline.in/,Yes
Classic Homes,Real estate,3.7,3,9841236888,"Mahdi Hussai Street, Peters Road, Royapettah. Near Galaxy Printers Galaxy Printers, Mahdi, Mohammed Hussain St",Highly Recommended Service,http://classichomesmadras.in/,Yes
Chennai Real Estate Agents Association,Real estate,4.8,28,7418872823,"Indian Red Cross Society Campus, No 2 ,2nd Floor, 104, 125, Red Cross Rd, Egmore, Chennai, Tamil Nadu 600008",Highly Recommended Service,http://creaa.in/,Yes
EthiQs Realty Buy Sell Rent,Real estate,5,3,7397282111,"269, Redhills, Anna Main Rd",Highly Recommended Service,http://ethiqsrealty.in/,Yes
FAIRA,Real estate,4.9,26,4448573232,"Basement floor, Asian apartments, No. 23/12, 1st Cross St, Trustpuram, Kodambakkam, Chennai, Tamil Nadu 600024",Highly Recommended Service,http://faira.co.in/,Yes
GREEN GLOBAL REALTY,Real estate,4.3,4,9840430914,"Indian Red Cross Society Campus, 2, Red Cross Rd, off No .129, IV Floor",Highly Recommended Service,http://greenglobalrealty.com/,Yes
Happy Homes Serviced Apartments Guindy,Real estate,4,232,9655517676,"Dhanya Gardens"" No:6/1,Kalaimagal Nagar, 1st Main Road,Extn Street, Ekkattuthangal, Leo Muthu Rd",Highly Recommended Service,http://happyhomesserviceapartment.com/,Yes
Hills & Wills,Real estate,4.5,20,9500800900,"B/GF-3, Parsn Paradise, Old No. 109 / New, Gopathy Narayana Rd",Highly Recommended Service,http://hillsandwills.com/,Yes
IBS Realtor,Real estate,5,3,7092370983,"42 First Floor, Flat no 7, Sindur Plaza, Red Cross Rd",Highly Recommended Service,http://ibsrealtor.com/,Yes
